gen	time	h	d
343	7581	103.17456	30.445719
344	7505	103.37835	30.17732
345	7418	103.23238	29.923141
346	7579	103.63522	29.734423
347	7693	103.72885	30.226454
348	7572	103.40953	30.64117
349	7402	103.09115	30.657654
350	7359	102.82681	30.702108
351	7423	102.89856	31.047438
352	7342	102.612175	31.32173
353	7236	102.65415	31.468874
354	7270	102.59468	31.266823
355	7292	102.953156	31.094902
356	7173	103.201904	31.087805
357	7254	103.13031	31.1819
358	7235	102.69981	31.50417
359	7123	102.421326	31.796284
360	7070	102.177376	32.056797
361	7093	102.2307	32.278664
362	6932	102.60554	32.458485
363	6956	103.00828	32.459145
364	7001	103.4746	32.338333
365	7049	103.25928	32.03895
366	7070	102.78826	31.81224
367	7097	102.9009	31.660599
368	7133	102.478386	31.792023
369	7073	102.62235	31.823296
370	7130	102.90826	31.386587
371	7164	103.156624	31.038715
372	7277	103.338554	31.377186
373	7276	103.37486	31.768005
374	7100	103.4098	32.026516
375	7035	103.654	32.331223
376	7081	104.0967	31.877869
377	7161	103.75132	32.00037
378	7068	103.63387	32.110813
379	7068	103.961975	32.3607
380	7177	104.12557	32.847343
381	7033	103.766	32.436165
382	7124	104.01969	32.39191
383	7032	104.19997	32.69768
384	7044	104.00084	32.931828
385	6955	103.68837	32.74132
386	7002	103.98311	33.020355
387	6976	104.293	33.106
388	6936	103.9969	32.6809
389	7072	103.79573	32.722183
390	7010	103.637596	32.476818
391	7047	103.76998	32.89247
392	6996	103.72142	32.72149
393	7050	103.33036	33.007874
394	6978	103.39212	32.670834
395	7022	103.038506	32.53824
396	7008	102.85167	32.873528
397	6919	102.849045	32.908936
398	7029	103.22527	32.81195
399	6956	103.12664	32.78344
400	6883	103.460236	32.878826
401	6990	103.82139	32.406277
402	7101	103.38488	32.869747
403	6982	103.752686	33.124954
404	6877	104.13958	33.309143
405	6946	103.714745	33.327282
406	6977	103.90115	33.157795
407	6968	104.15959	33.225292
408	6870	104.421455	33.008163
409	6993	104.105095	33.20193
410	6955	104.58953	33.110607
411	7047	104.26232	32.95317
412	6934	103.85658	33.380783
413	6883	104.18791	33.491436
414	6924	103.98277	33.62435
415	6787	103.8031	33.216724
416	6829	103.60134	33.101017
417	6896	103.62594	33.033962
418	6981	103.426384	32.562195
419	7029	103.80818	32.532658
420	7039	104.06171	32.4731
421	7018	103.691956	32.58484
422	6990	103.404594	32.69173
423	7014	103.43346	32.623768
424	6996	103.71562	32.443462
425	7047	103.24993	32.198776
426	7089	103.69669	31.740887
427	7182	103.81981	31.33713
428	7237	104.29272	31.3101
429	7329	104.03163	30.94632
430	7421	104.31993	31.334177
431	7321	104.34608	31.358644
432	7281	104.335526	30.961668
433	7380	104.53205	30.862022
434	7441	104.56433	30.929043
435	7435	104.204704	31.028713
436	7390	104.64589	31.260206
437	7293	104.555916	31.512268
438	7288	104.345566	31.04787
439	7317	103.987595	31.014608
440	7342	103.71655	30.577097
441	7370	103.46096	30.081408
442	7476	103.65425	30.012522
443	7568	103.69612	29.82829
444	7648	104.16061	30.075546
445	7642	104.61349	29.963566
446	7680	104.19023	29.908154
447	7733	104.57224	30.089924
448	7615	104.33797	29.793535
449	7606	104.08226	29.833391
450	7612	103.66442	29.537598
451	7750	103.97136	29.282558
452	7754	104.21146	29.61728
453	7671	104.66606	29.476625
454	7670	104.42583	29.18728
455	7890	104.916565	29.673979
456	7743	104.54531	29.92116
457	7696	104.641525	29.976923
458	7640	104.80357	29.676395
459	7775	104.485504	29.990023
460	7789	104.09739	29.838898
461	7573	104.53475	30.306602
462	7581	104.06825	30.31006
463	7503	103.71654	30.557415
464	7520	103.91361	30.748524
465	7460	103.67121	30.689991
466	7423	103.38349	31.06258
467	7319	103.09896	31.521626
468	7215	103.00101	31.816063
469	7145	102.54963	31.570042
470	7093	102.9356	31.881332
471	7211	103.03322	31.386232
472	7213	102.75247	30.94332
473	7211	103.227974	30.469599
474	7410	103.56295	30.968847
475	7263	103.627716	30.49986
476	7506	103.47066	30.643312
477	7394	103.43357	30.444462
478	7447	103.078606	30.802067
479	7383	103.26629	30.510916
480	7458	103.185715	30.980373
481	7396	103.35456	30.63555
482	7411	103.751045	31.121368
483	7271	103.76462	30.870495
484	7380	104.07941	30.629206
485	7428	104.25465	31.018816
486	7366	104.50097	31.333216
487	7345	104.789566	31.68246
488	7288	104.852844	31.390179
489	7193	104.80088	31.076618
490	7374	105.23097	30.922894
491	7422	105.02917	31.141773
492	7409	104.64719	30.780235
493	7464	104.20212	30.343853
494	7535	104.103905	30.652105
495	7499	104.386986	30.188784
496	7563	104.808716	30.608402
497	7473	105.0672	30.95106
498	7458	105.04233	30.544352
499	7494	105.246216	30.83427
500	7557	104.91242	30.808435
501	7498	105.3078	30.645208
502	7517	104.906	30.277723
503	7537	104.99785	30.590828
504	7439	104.72945	30.88623
505	7458	104.65506	31.205505
506	7363	104.8257	31.260057
507	7263	105.20498	31.332134
508	7468	105.68014	31.141388
509	7385	105.564445	31.300247
510	7372	105.45747	31.135735
511	7397	105.22479	31.043972
512	7469	104.82527	30.930874
513	7450	104.936874	31.347502
514	7369	105.15972	31.689404
515	7340	105.06024	31.668522
516	7310	104.86625	31.891205
517	7313	104.40586	32.330074
518	7114	104.891106	31.945465
519	7191	104.9322	32.186184
520	7215	104.482574	32.683228
521	7168	104.349464	32.744907
522	7031	104.32779	32.523205
523	7143	104.78427	32.9129
524	6904	104.5291	32.502224
525	7159	104.613174	32.671654
526	7026	104.62328	32.25161
527	7151	104.62751	32.46676
528	7160	104.23514	32.664043
529	7038	104.55767	33.087112
530	7040	104.69482	33.434784
531	6925	104.401764	33.214676
532	6890	104.476105	32.9741
533	6931	104.64749	33.469486
534	6882	104.31026	33.855927
535	6853	104.14064	34.063797
536	6753	104.40212	34.36615
537	6836	104.10927	34.144924
538	6840	103.8236	34.37931
539	6697	103.72526	34.376343
540	6706	103.25479	33.979305
541	6694	103.37291	34.308323
542	6685	103.38912	34.42959
543	6613	102.890785	34.738804
544	6550	102.5736	35.23304
545	6515	102.31007	35.359684
546	6428	101.93749	34.93055
547	6449	102.11838	35.180347
548	6485	101.623474	35.08837
549	6401	101.97015	35.129955
550	6467	102.12958	34.641117
551	6585	102.41329	35.11255
552	6560	102.20738	35.0271
553	6483	101.842995	34.873062
554	6586	101.96899	34.985664
555	6496	102.25712	35.458755
556	6473	101.99808	35.06474
557	6522	101.60584	35.0216
558	6477	101.20419	34.660236
559	6513	100.85903	35.061573
560	6405	100.59418	35.411484
561	6238	100.86671	35.62488
562	6418	100.41153	35.234642
563	6333	100.460266	35.189915
564	6385	100.69292	34.778873
565	6488	100.263596	35.112774
566	6305	100.21067	35.3179
567	6401	99.95357	34.874706
568	6453	99.83376	34.74989
569	6399	100.22046	34.501637
570	6500	99.91485	34.86925
571	6403	100.17963	34.45621
572	6492	100.011856	33.974575
573	6608	99.561195	34.26256
574	6407	99.60593	34.68919
575	6435	99.83175	34.34279
576	6441	99.40085	34.254948
577	6474	99.61686	34.156677
578	6532	99.92682	34.576073
579	6429	100.27438	34.766983
580	6413	100.34511	35.099964
581	6379	100.286514	34.687115
582	6428	99.9342	34.54748
583	6534	100.13364	34.789764
584	6417	99.98806	34.814655
585	6345	99.778404	34.415257
586	6464	99.520294	33.971676
587	6462	99.50088	33.508324
588	6653	99.904045	33.535378
589	6667	100.077835	33.78189
590	6619	99.67972	33.56211
591	6715	99.243256	33.270596
592	6539	99.11418	33.74472
593	6559	99.408	33.27242
594	6657	99.14984	33.035233
595	6689	99.59262	33.334675
596	6624	99.68403	33.246727
597	6732	99.98734	33.188183
598	6703	100.21226	33.276714
599	6652	99.75862	33.21893
600	6761	99.86705	33.201
601	6596	99.88617	32.80231
602	6818	99.62794	33.035824
603	6630	99.30802	33.142418
604	6708	98.95545	33.072433
605	6662	98.72395	32.775566
606	6747	98.450134	33.186283
607	6592	97.992325	33.47158
608	6506	97.543816	33.8771
609	6369	97.24699	33.576202
610	6396	97.19795	33.21475
611	6580	96.86601	32.924316
612	6575	97.22305	33.361065
613	6497	97.23211	33.51879
614	6567	96.93316	33.94689
615	6363	96.731544	34.153847
616	6379	96.79677	33.97443
617	6328	97.28283	33.73234
618	6375	97.03275	33.96211
619	6357	97.525246	33.563805
620	6466	97.21444	33.503223
621	6455	96.880585	33.23558
622	6523	96.52726	33.47738
623	6402	96.07635	33.2233
624	6508	95.75988	32.969353
625	6566	95.42188	33.32798
626	6422	95.43009	33.13488
627	6298	95.77846	33.109356
628	6452	96.03508	33.08972
629	6492	96.15005	33.340824
630	6480	96.3194	33.826458
631	6447	96.25693	33.86635
632	6347	96.15473	33.652447
633	6296	96.20519	33.797577
634	6325	96.41635	34.236588
635	6369	96.62842	34.04945
636	6385	96.96657	33.67217
637	6453	96.54801	33.214684
638	6660	96.862434	32.986797
639	6491	96.99518	32.668728
640	6626	97.26746	32.82186
641	6486	97.67143	32.733444
642	6561	97.63339	32.27792
643	6753	97.228004	31.957386
644	6732	97.496574	32.408398
645	6700	97.140594	32.246395
646	6682	97.12223	31.791779
647	6803	96.96382	31.77723
648	6768	96.97498	32.21679
649	6678	97.30705	32.13837
650	6735	97.43798	32.284557
651	6742	97.21996	32.46741
652	6678	97.21625	32.370575
653	6711	96.87267	32.24418
654	6697	97.03063	31.786282
655	6702	97.44137	31.4816
656	6784	97.43073	31.132475
657	6916	97.41119	31.610794
658	6943	96.95748	31.986073
659	6629	96.516945	32.196743
660	6617	96.63059	32.608387
661	6502	96.51644	32.791317
662	6502	96.46097	33.288616
663	6509	96.39546	33.22325
664	6463	96.81501	33.317974
665	6500	96.46915	33.136375
666	6446	96.147194	33.487934
667	6374	95.69966	33.256454
668	6426	96.17629	33.342514
669	6408	95.842606	33.72555
670	6351	95.3494	33.53336
671	6232	95.84161	33.060658
672	6497	96.035675	32.970383
673	6519	96.53644	32.625305
674	6552	96.30713	32.835945
675	6555	95.83098	32.445164
676	6558	96.124214	32.932438
677	6481	95.98457	32.723537
678	6547	96.06872	32.545986
679	6509	95.736626	32.484795
680	6497	96.01621	32.28855
681	6594	96.2151	31.944187
682	6631	96.042	31.470167
683	6738	95.67417	31.960701
684	6676	95.549034	32.04798
685	6640	95.56881	32.174637
686	6562	95.97815	32.67451
687	6526	95.923805	32.64457
688	6514	95.83355	33.11896
689	6557	95.88431	33.193672
690	6485	96.29027	33.36676
691	6420	95.95011	33.092308
692	6543	96.422745	33.499325
693	6449	96.862144	33.4436
694	6475	97.28913	33.20681
695	6490	97.222946	33.39748
696	6482	97.103966	33.415077
697	6513	96.68331	33.383713
698	6414	97.04488	33.07569
699	6625	97.45779	32.779003
700	6595	97.246765	32.748573
701	6574	97.71719	33.028107
702	6625	97.64109	33.176003
703	6590	97.9995	33.33458
704	6517	98.315926	33.170647
705	6502	98.525894	33.00052
706	6549	98.73062	33.47785
707	6575	98.50833	33.01303
708	6640	98.39357	33.20786
709	6556	98.876434	33.631706
710	6595	99.15149	33.283463
711	6592	99.631996	33.283543
712	6719	99.80656	32.90723
713	6735	100.27734	32.50456
714	6921	100.30132	32.731384
715	6809	100.53954	32.327667
716	6891	100.73585	32.109123
717	6940	100.65559	31.639362
718	6999	100.383446	31.241001
719	7079	100.42475	31.235806
